I 06/10/2012 16:59:01:825 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:59:14:443 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:59:14:445 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:59:14:446 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:59:14:446 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:59:14:446 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:59:14:448 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:59:14:448 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:59:14:450 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:59:14:452 00002ac8           HttpServer| GC End.
I 06/10/2012 16:59:14:452 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:59:14:476 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
I 06/10/2012 16:59:14:484 00002ac8           HttpServer| Process URI: '/public/jquery/jquery.json-2.3.min.js'
I 06/10/2012 16:59:14:486 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.css'
I 06/10/2012 16:59:14:487 00002ac8           HttpServer| Process URI: '/public/css/jqmobile-patch.css'
I 06/10/2012 16:59:14:488 00002ac8           HttpServer| Process URI: '/public/js/scoreboard.js'
I 06/10/2012 16:59:14:489 00002ac8           HttpServer| Process URI: '/public/jqmobile/jquery.mobile-1.0.1.min.js'
I 06/10/2012 16:59:14:544 00002ac8           HttpServer| Process URI: '/public/js/jqmobile-patch.js'
I 06/10/2012 16:59:14:545 00002ac8           HttpServer| Process URI: '/public/css/android.css'
I 06/10/2012 16:59:14:546 00002ac8           HttpServer| Process URI: '/public/css/layout.css'
I 06/10/2012 16:59:14:685 00002ac8           HttpServer| Process URI: '/public/jqmobile/images/icons-18-white.png'
I 06/10/2012 16:59:14:746 00000a3c           MainWindow| WebView: loaded 
I 06/10/2012 16:59:26:092 00000a3c           MainWindow| WebView: loading...
I 06/10/2012 16:59:26:099 00002ac8           HttpServer| Process URI: '/app/index.erb'
I 06/10/2012 16:59:26:099 00002ac8                  APP| RHO serve_index: /app/index.erb
I 06/10/2012 16:59:26:099 00002ac8 RHO Rho::RhoController| inst_render_index
I 06/10/2012 16:59:26:099 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/index.erb
I 06/10/2012 16:59:26:101 00002ac8 RHO Rho::RhoController| index layout
I 06/10/2012 16:59:26:101 00002ac8                  APP| eval_compiled_file : C:/Applications/placar-jiujitsu/app/layout.erb
I 06/10/2012 16:59:26:112 00002ac8           HttpServer| GC Start.
I 06/10/2012 16:59:26:113 00002ac8           HttpServer| GC End.
I 06/10/2012 16:59:26:119 00000a3c           MainWindow| WebView: URL changed
I 06/10/2012 16:59:26:147 00002ac8           HttpServer| Process URI: '/public/jquery/jquery-1.6.4.min.js'
